MaSV,HoTen,Diem
SV569,Tran Thi S9,6.91
SV570,Le Van S0,5.45
SV571,Nguyen Van S1,6.31
SV572,Tran Thi S2,5.57
SV573,Le Van S3,8.69
SV574,Nguyen Van S4,5.95
SV575,Tran Thi S5,7.43
SV576,Le Van S6,4.74
SV577,Nguyen Van S7,7.42
SV578,Tran Thi S8,6.2
SV579,Le Van S9,6.17
SV580,Nguyen Van S0,8.23
SV581,Tran Thi S1,5.13
SV582,Le Van S2,8.03
SV583,Nguyen Van S3,8.77
SV584,Tran Thi S4,7.19
SV585,Le Van S5,5.52
SV586,Nguyen Van S6,9.75
SV587,Tran Thi S7,5.29
SV588,Le Van S8,7.89
SV589,Nguyen Van S9,7.2
SV590,Tran Thi S0,6.95
SV591,Le Van S1,6.41
SV592,Nguyen Van S2,9.9
SV593,Tran Thi S3,7
SV594,Le Van S4,8.97
SV595,Nguyen Van S5,9.15
SV596,Tran Thi S6,4.05
SV597,Le Van S7,8.4
SV598,Nguyen Van S8,7.11
SV599,Tran Thi S9,6.85
SV600,Le Van S0,7.36
SV601,Nguyen Van S1,9.67
SV602,Tran Thi S2,7.98
SV603,Le Van S3,4.41
SV604,Nguyen Van S4,9.9
SV605,Tran Thi S5,9.81
SV606,Le Van S6,5.59
SV607,Nguyen Van S7,9.76
SV608,Tran Thi S8,6.68
SV609,Le Van S9,9.65
SV610,Nguyen Van S0,9.94
SV611,Tran Thi S1,8.98
SV612,Le Van S2,5.15
SV613,Nguyen Van S3,8.56
SV614,Tran Thi S4,7.85
SV615,Le Van S5,8.17
SV616,Nguyen Van S6,5.29
SV617,Tran Thi S7,5.79
SV618,Le Van S8,6.23
SV619,Nguyen Van S9,5.1
SV620,Tran Thi S0,6.61
SV621,Le Van S1,4.4
SV622,Nguyen Van S2,5.39
SV623,Tran Thi S3,9.43
SV624,Le Van S4,8.75
SV625,Nguyen Van S5,5.32
SV626,Tran Thi S6,7.96
SV627,Le Van S7,9.08
SV628,Nguyen Van S8,4.75
SV629,Tran Thi S9,8.95
SV630,Le Van S0,7.54
SV631,Nguyen Van S1,7.89
SV632,Tran Thi S2,9.41
SV633,Le Van S3,4.77
SV634,Nguyen Van S4,4.84
SV635,Tran Thi S5,4.1
SV636,Le Van S6,9.21
SV637,Nguyen Van S7,8.21
SV638,Tran Thi S8,9.23
SV639,Le Van S9,7.14
SV640,Nguyen Van S0,5.11
SV641,Tran Thi S1,7.16
SV642,Le Van S2,9.11
SV643,Nguyen Van S3,5.91
SV644,Tran Thi S4,7.15
SV645,Le Van S5,7.75
SV646,Nguyen Van S6,4.15
SV647,Tran Thi S7,6.93
SV648,Le Van S8,4.02
SV649,Nguyen Van S9,9.78
SV650,Tran Thi S0,7.47
SV651,Le Van S1,5.36
SV652,Nguyen Van S2,9.82
SV653,Tran Thi S3,8.63
SV654,Le Van S4,9.75
SV655,Nguyen Van S5,5.36
SV656,Tran Thi S6,9.59
SV657,Le Van S7,8.85
SV658,Nguyen Van S8,5.51
SV659,Tran Thi S9,5.37
SV660,Le Van S0,6.38
SV661,Nguyen Van S1,8.55
SV662,Tran Thi S2,7.44
SV663,Le Van S3,4.34
SV664,Nguyen Van S4,7.04
SV665,Tran Thi S5,8.52
SV666,Le Van S6,8.21
SV667,Nguyen Van S7,5.07
SV668,Tran Thi S8,5.36
SV669,Le Van S9,5.87
SV670,Nguyen Van S0,8.01
SV671,Tran Thi S1,7.91
SV672,Le Van S2,5.58
SV673,Nguyen Van S3,4.96
SV674,Tran Thi S4,4.91
SV675,Le Van S5,7.11
SV676,Nguyen Van S6,6.92
SV677,Tran Thi S7,4.89
SV678,Le Van S8,6.21
SV679,Nguyen Van S9,9.87
SV680,Tran Thi S0,9.17
SV681,Le Van S1,7.25
SV682,Nguyen Van S2,8.29
SV683,Tran Thi S3,4.96
SV684,Le Van S4,5.17
SV685,Nguyen Van S5,6.35
SV686,Tran Thi S6,6.9
SV687,Le Van S7,9.44
SV688,Nguyen Van S8,6.2
SV689,Tran Thi S9,5.41
SV690,Le Van S0,5.63
SV691,Nguyen Van S1,6.3
SV692,Tran Thi S2,5.1
SV693,Le Van S3,9.62
SV694,Nguyen Van S4,9.56
SV695,Tran Thi S5,7.38
SV696,Le Van S6,4.09
SV697,Nguyen Van S7,8.19
SV698,Tran Thi S8,7.5
SV699,Le Van S9,8.73
SV700,Nguyen Van S0,9.65
SV701,Tran Thi S1,5.92
SV702,Le Van S2,7.08
SV703,Nguyen Van S3,4.04
SV704,Tran Thi S4,8.47
SV705,Le Van S5,5.19
SV706,Nguyen Van S6,5.96
SV707,Tran Thi S7,5.84
SV708,Le Van S8,7.85
SV709,Nguyen Van S9,9.2
SV710,Tran Thi S0,4.65
SV711,Le Van S1,8.07
SV712,Nguyen Van S2,6.1
SV713,Tran Thi S3,7.33
SV714,Le Van S4,5
SV715,Nguyen Van S5,9.9
SV716,Tran Thi S6,8.21
SV717,Le Van S7,4.19
SV718,Nguyen Van S8,6.32
SV719,Tran Thi S9,9.51
SV720,Le Van S0,8.69
SV721,Nguyen Van S1,8.32
SV722,Tran Thi S2,7.97
SV723,Le Van S3,6.37
SV724,Nguyen Van S4,4.56
SV725,Tran Thi S5,4.88
SV726,Le Van S6,9.74
SV727,Nguyen Van S7,5.05
SV728,Tran Thi S8,9.43
SV729,Le Van S9,8.65
SV730,Nguyen Van S0,7.42
SV731,Tran Thi S1,6.34
SV732,Le Van S2,5.52
SV733,Nguyen Van S3,5.79
SV734,Tran Thi S4,6.98
SV735,Le Van S5,6.68
SV736,Nguyen Van S6,7.73
SV737,Tran Thi S7,6.82
SV738,Le Van S8,9.12
SV739,Nguyen Van S9,6.39
SV740,Tran Thi S0,6.26
SV741,Le Van S1,6.09
SV742,Nguyen Van S2,8.23
SV743,Tran Thi S3,8.4
SV744,Le Van S4,7.13
SV745,Nguyen Van S5,9.77
SV746,Tran Thi S6,7.99
SV747,Le Van S7,5.27
SV748,Nguyen Van S8,5.29
SV749,Tran Thi S9,7.56
SV750,Le Van S0,8.11
SV751,Nguyen Van S1,7.78
SV752,Tran Thi S2,9.97
SV753,Le Van S3,7.16
SV754,Nguyen Van S4,9.27
SV755,Tran Thi S5,4.91
SV756,Le Van S6,4.3
SV757,Nguyen Van S7,5.2
SV758,Tran Thi S8,7.17
SV759,Le Van S9,9.57
SV760,Nguyen Van S0,5.7
SV761,Tran Thi S1,7.18
SV762,Le Van S2,5.23
SV763,Nguyen Van S3,4.62
SV764,Tran Thi S4,7.18
SV765,Le Van S5,7.97
SV766,Nguyen Van S6,5.28
SV767,Tran Thi S7,8.92
SV768,Le Van S8,6.19
SV769,Nguyen Van S9,9.1
SV770,Tran Thi S0,8.83
SV771,Le Van S1,9.86
SV772,Nguyen Van S2,9.1
SV773,Tran Thi S3,6.14
SV774,Le Van S4,6.48
SV775,Nguyen Van S5,4.5
SV776,Tran Thi S6,5.55
SV777,Le Van S7,7.23
SV778,Nguyen Van S8,8.58
SV779,Tran Thi S9,5.77
SV780,Le Van S0,8.72
SV781,Nguyen Van S1,7.32
SV782,Tran Thi S2,5.47
SV783,Le Van S3,9.11
SV784,Nguyen Van S4,7.58
SV785,Tran Thi S5,5.58
SV786,Le Van S6,7.25
SV787,Nguyen Van S7,8.94
SV788,Tran Thi S8,7.92
SV789,Le Van S9,8.75
SV790,Nguyen Van S0,8.1
SV791,Tran Thi S1,9.35
SV792,Le Van S2,6.87
SV793,Nguyen Van S3,8.93
SV794,Tran Thi S4,4.84
SV795,Le Van S5,5.54
SV796,Nguyen Van S6,9.93
SV797,Tran Thi S7,5.25
SV798,Le Van S8,8.16
SV799,Nguyen Van S9,5.01
SV800,Tran Thi S0,4.85
SV801,Le Van S1,5.32
SV802,Nguyen Van S2,9.68
SV803,Tran Thi S3,9.09
SV804,Le Van S4,8.82
SV805,Nguyen Van S5,4.71
SV806,Tran Thi S6,6.24
SV807,Le Van S7,5.16
SV808,Nguyen Van S8,9.31
SV809,Tran Thi S9,8.54
SV810,Le Van S0,6.12
SV811,Nguyen Van S1,7.49
SV812,Tran Thi S2,4.83
SV813,Le Van S3,7.13
SV814,Nguyen Van S4,5.8
SV815,Tran Thi S5,7.06
SV816,Le Van S6,5.46
SV817,Nguyen Van S7,4.65
SV818,Tran Thi S8,8.56
SV819,Le Van S9,9.61
SV820,Nguyen Van S0,4.65
SV821,Tran Thi S1,8.16
SV822,Le Van S2,4.06
SV823,Nguyen Van S3,6.04
SV824,Tran Thi S4,9.66
SV825,Le Van S5,6.81
SV826,Nguyen Van S6,4.51
SV827,Tran Thi S7,5.2
SV828,Le Van S8,5.75
SV829,Nguyen Van S9,5.65
SV830,Tran Thi S0,7.57
SV831,Le Van S1,7.8
SV832,Nguyen Van S2,9.25
SV833,Tran Thi S3,7.88
SV834,Le Van S4,4.52
SV835,Nguyen Van S5,4.37
SV836,Tran Thi S6,5.63
SV837,Le Van S7,7.04
SV838,Nguyen Van S8,9.78
